chr	start	end	gene_name	strand	gene_id	effective_length	expected_count	TPM
chr1	11873	14409	DDX11L1	+	ENSG00000223972.5_2	1409.130000	17.800000	0.170000
chr1	14361	29370	WASH7P	-	ENSG00000227232.5_2	1103.130000	3562.290000	43.650000
chr1	34610	36081	FAM138A	-	ENSG00000237613.2_2	939.130000	0.000000	0.000000
chr1	34610	36081	FAM138F	-	ENSG00000282591.1_2	950.540000	233.340000	3.320000
chr1	69090	70008	OR4F5	+	ENSG00000186092.4_2	670.130000	2.670000	0.050000
chr1	752750	755214	FAM87B	+	ENSG00000177757.2_2	1699.130000	52.330000	0.420000
chr1	761585	762902	LINC00115	-	ENSG00000225880.5_2	1069.130000	682.860000	8.630000
chr1	762970	794826	LINC01128	+	ENSG00000228794.8_2	1884.620000	1696.000000	12.160000
chr1	803450	812182	FAM41C	-	ENSG00000230368.2_2	671.190000	0.000000	0.000000
chr1	861120	879961	SAMD11	+	ENSG00000187634.11_3	1594.790000	92.280000	0.780000
chr1	879582	894679	NOC2L	-	ENSG00000188976.10_2	2255.980000	37935.720000	227.300000
chr1	895966	901099	KLHL17	+	ENSG00000187961.13_3	1058.370000	5043.000000	64.410000
chr1	901876	910484	PLEKHN1	+	ENSG00000187583.10_2	2112.460000	62.000000	0.400000
chr1	910578	917497	PERM1	-	ENSG00000187642.9_2	1048.550000	49.000000	0.630000
chr1	934341	935552	HES4	-	ENSG00000188290.10_2	695.160000	1704.000000	33.130000
chr1	948846	949919	ISG15	+	ENSG00000187608.8_3	463.150000	1298.000000	37.880000
chr1	955502	991499	AGRN	+	ENSG00000188157.14_3	3980.080000	15165.000000	51.500000
chr1	1007125	1009687	RNF223	-	ENSG00000237330.2_2	1654.130000	0.000000	0.000000
chr1	1017197	1051736	C1orf159	-	ENSG00000131591.17_2	1898.440000	5859.000000	41.720000
chr1	1072396	1079434	LINC01342	+	ENSG00000223823.1_2	1372.130000	0.000000	0.000000
chr1	1115076	1121243	TTLL10	+	ENSG00000162571.13_3	981.690000	0.000000	0.000000
chr1	1138887	1142089	TNFRSF18	-	ENSG00000186891.13_2	603.130000	8.000000	0.180000
chr1	1146705	1149548	TNFRSF4	-	ENSG00000186827.10_2	1325.650000	12.000000	0.120000
chr1	1152287	1167447	SDF4	-	ENSG00000078808.16_2	1817.320000	10344.000000	76.940000
chr1	1167628	1170420	B3GALT6	+	ENSG00000176022.4_3	2529.130000	2458.000000	13.140000
chr1	1177825	1182102	C1QTNF12	-	ENSG00000184163.3_2	378.310000	92.000000	3.290000
chr1	1189291	1209234	UBE2J2	-	ENSG00000160087.20_3	1230.390000	7491.000000	82.290000
chr1	1215815	1227409	SCNN1D	+	ENSG00000162572.20_2	2778.480000	173.000000	0.840000
chr1	1227763	1243269	ACAP3	-	ENSG00000131584.18_2	2881.830000	7248.000000	34.000000
chr1	1243959	1247057	PUSL1	+	ENSG00000169972.11_2	929.840000	4001.000000	58.160000
chr1	1246964	1260067	INTS11	-	ENSG00000127054.20_3	1263.040000	14174.000000	151.690000
