chr	Start	End	strand	gene_name	gene_body_length	epd_id	TATA-box	Inr	log10_burst_size
chr1	860120	862120	+	SAMD11	18841	SAMD11_1	0	1	0.543940
chr1	894966	896966	+	KLHL17	5133	KLHL17_1	0	1	0.586351
chr1	900876	902876	+	PLEKHN1	8608	PLEKHN1_1	0	0	0.569489
chr1	947846	949846	+	ISG15	1073	ISG15_1	1	0	0.934324
chr1	954502	956502	+	AGRN	35997	AGRN_1	0	1	0.522824
chr1	1071396	1073396	+	LINC01342	7038	LINC01342_1	0	0	0.576057
chr1	1114076	1116076	+	TTLL10	6167	TTLL10_2	0	1	0.580365
chr1	1166628	1168628	+	B3GALT6	2792	B3GALT6_1	0	0	0.606212
chr1	1214815	1216815	+	SCNN1D	11594	SCNN1D_1	0	0	0.559776
chr1	1242959	1244959	+	PUSL1	3098	PUSL1_1	0	0	0.602820
chr1	1259142	1261142	+	CPTP	4134	CPTP_1	0	0	0.593411
chr1	1265725	1267725	+	TAS1R3	3975	TAS1R3_1	0	0	0.594690
chr1	1360507	1362507	+	TMEM88B	1660	TMEM88B_1	0	1	0.623170
chr1	1369902	1371902	+	VWA1	7360	VWA1_2	0	0	0.574597
chr1	1369902	1371902	+	VWA1	7360	VWA1_1	0	1	0.574597
chr1	1406134	1408134	+	ATAD3B	24450	ATAD3B_1	0	0	0.535440
chr1	1446522	1448522	+	ATAD3A	22545	ATAD3A_1	0	1	0.538086
chr1	1446522	1448522	+	ATAD3A	22545	ATAD3A_2	0	0	0.538086
chr1	1549794	1551794	+	MIB2	15196	MIB2_1	0	1	0.550952
chr1	1549794	1551794	+	MIB2	15196	MIB2_2	0	0	0.550952
chr1	1566559	1568559	+	MMP23B	2471	MMP23B_1	0	0	0.610195
chr1	1949767	1951767	+	GABRD	11425	GABRD_1	0	0	0.560255
chr1	1980908	1982908	+	PRKCZ	134926	PRKCZ_1	0	0	0.479730
chr1	2159133	2161133	+	SKI	81519	SKI_1	0	0	0.496164
chr1	2322213	2324213	+	RER1	13672	RER1_1	0	0	0.554399
chr1	2406753	2408753	+	PLCH2	29216	PLCH2_2	0	0	0.529632
chr1	2486803	2488803	+	TNFRSF14	9258	TNFRSF14_1	0	1	0.567115
chr1	2486803	2488803	+	TNFRSF14	9258	TNFRSF14_2	0	0	0.567115
chr1	2517188	2519188	+	FAM213B	4720	FAM213B_1	0	0	0.589087
chr1	2937045	2939045	+	ACTRT2	1422	ACTRT2_1	0	0	0.628217
chr1	2984741	2986741	+	PRDM16	369444	PRDM16_1	0	0	0.446877
chr1	3370146	3372146	+	ARHGEF16	26531	ARHGEF16_2	0	0	0.532776
chr1	3370146	3372146	+	ARHGEF16	26531	ARHGEF16_1	0	1	0.532776
chr1	3540555	3542555	+	TPRG1L	5139	TPRG1L_1	0	0	0.586313
chr1	3568128	3570128	+	TP73	83637	TP73_1	1	0	0.601935
chr1	3667964	3669964	+	CCDC27	19245	CCDC27_1	0	0	0.543248
chr1	3688324	3690324	+	SMIM1	3222	SMIM1_1	0	1	0.601540
chr1	3772830	3774830	+	DFFB	28163	DFFB_1	0	0	0.530829
chr1	3772830	3774830	+	DFFB	28163	DFFB_2	0	1	0.530829
chr1	3815967	3817967	+	LINC01134	15044	LINC01134_1	0	0	0.551280
chr1	3999671	4001671	+	LINC01346	11972	LINC01346_1	0	0	0.558730
chr1	4471110	4473110	+	LINC01777	12634	LINC01777_1	0	0	0.556974
chr1	4714104	4716104	+	AJAP1	128747	AJAP1_1	0	0	0.481259
chr1	4714104	4716104	+	AJAP1	128747	AJAP1_3	0	0	0.481259
chr1	4714104	4716104	+	AJAP1	128747	AJAP1_2	0	0	0.481259
chr1	6085072	6087072	+	KCNAB2	75181	KCNAB2_2	0	0	0.498804
chr1	6265188	6267188	+	RNF207	15171	RNF207_1	0	1	0.551006
chr1	6303251	6305251	+	HES3	1387	HES3_1	1	0	0.914737
chr1	6483847	6485847	+	ESPN	36157	ESPN_1	0	1	0.522680
chr1	6614337	6616337	+	TAS1R1	24480	TAS1R1_1	1	1	0.847286
chr1	6639050	6641050	+	ZBTB48	9290	ZBTB48_1	0	0	0.567002
chr1	6672755	6674755	+	PHF13	10338	PHF13_1	0	0	0.563516
chr1	6684209	6686209	+	THAP3	8433	THAP3_2	0	1	0.570159
chr1	6684209	6686209	+	THAP3	8433	THAP3_1	0	0	0.570159
chr1	6844383	6846383	+	CAMTA1	102878	CAMTA1_1	0	0	0.488575
chr1	7830328	7832328	+	VAMP3	10164	VAMP3_1	0	0	0.564069
chr1	7843488	7845488	+	PER3	60752	PER3_2	0	0	0.505755
chr1	7843488	7845488	+	PER3	60752	PER3_1	0	0	0.505755
chr1	8020713	8022713	+	PARK7	23629	PARK7_1	0	0	0.536554
chr1	8377144	8379144	+	SLC45A1	26083	SLC45A1_1	0	0	0.533332
chr1	8483704	8485704	+	LOC102724552	10372	RERE-AS1_1	1	0	0.761213
chr1	8937893	8939893	+	ENO1-AS1	1050	ENO1-AS1_1	0	0	0.638109
chr1	9004892	9006892	+	CA6	29256	CA6_1	1	1	0.833686
chr1	9241262	9243262	+	LINC01759	9882	LNCTAM34A_1	0	0	0.564987
chr1	9293862	9295862	+	H6PD	36532	H6PD_1	0	1	0.522343
chr1	9351940	9353940	+	SPSB1	76650	SPSB1_1	1	0	0.608591
chr1	9598527	9600527	+	SLC25A33	43304	SLC25A33_1	0	1	0.516797
chr1	9647931	9649931	+	TMEM201	16089	TMEM201_1	0	0	0.549090
chr1	9710789	9712789	+	PIK3CD	77383	PIK3CD_1	0	1	0.497863
chr1	10002485	10004485	+	NMNAT1	42071	NMNAT1_1	0	0	0.517739
chr1	10056254	10058254	+	RBP7	18824	RBP7_1	1	0	0.715733
chr1	10092040	10094040	+	UBE4B	148256	UBE4B_1	0	0	0.476657
chr1	10092040	10094040	+	UBE4B	148256	UBE4B_2	0	1	0.476657
chr1	10269763	10271763	+	KIF1B	170898	KIF1B_1	0	0	0.472021
chr1	10458048	10460048	+	PGD	21520	PGD_1	0	0	0.539604
chr1	10489158	10491158	+	APITD1-CORT	21902	APITD1-CORT_3	0	0	0.539030
chr1	10489158	10491158	+	APITD1-CORT	21902	APITD1-CORT_2	0	0	0.539030
chr1	10489158	10491158	+	APITD1-CORT	21902	APITD1_1	0	0	0.539030
chr1	10489158	10491158	+	APITD1-CORT	21902	APITD1-CORT_1	0	0	0.539030
chr1	10489158	10491158	+	CENPS	12714	APITD1-CORT_3	0	0	0.556768
chr1	10489158	10491158	+	CENPS	12714	APITD1-CORT_2	0	0	0.556768
chr1	10489158	10491158	+	CENPS	12714	APITD1_1	0	0	0.556768
chr1	10489158	10491158	+	CENPS	12714	APITD1-CORT_1	0	0	0.556768
chr1	10508775	10510775	+	CORT	2285	CORT_2	0	0	0.612748
chr1	10508775	10510775	+	CORT	2285	CORT_1	0	0	0.612748
