gene_name	chr	tss	strand	name	length	read_count
ACO2	chr22	41865128	+	chr22:41864622-41865122,chr22:41865305-41865805	1000	792
ADM2	chr22	50920152	+	chr22:50919672-50920172	500	22
ADSL	chr22	40742503	+	chr22:40742304-40742804	500	146
ALG12	chr22	50312106	-	chr22:50311879-50312379	500	272
ANKRD54	chr22	38240353	-	chr22:38240248-38240748	500	1375
AP1B1	chr22	29784572	-	chr22:29784414-29784914	500	382
APOBEC3B	chr22	39378403	+	chr22:39377244-39377744,chr22:39378145-39378645	1000	330
APOBEC3C	chr22	39410264	+	chr22:39410021-39410521	500	313
APOBEC3D	chr22	39417117	+	chr22:39415921-39416421,chr22:39416769-39417269	1000	70
APOBEC3F	chr22	39436672	+	chr22:39436584-39437084	500	83
APOBEC3G	chr22	39473009	+	chr22:39473060-39473560	500	87
APOBEC3H	chr22	39493228	+	chr22:39493027-39493527	500	124
APOL1	chr22	36649116	+	chr22:36648952-36649452	500	119
APOL2	chr22	36635689	-	chr22:36635453-36635953	500	285
APOL6	chr22	36044423	+	chr22:36044722-36045222,chr22:36044216-36044716	1000	58
ARFGAP3	chr22	43253408	-	chr22:43252172-43252672,chr22:43253062-43253562	1000	250
ARSA	chr22	51066601	-	chr22:51066484-51066984	500	52
ARVCF	chr22	20004309	-	chr22:20004246-20004746	500	986
ASCC2	chr22	30234293	-	chr22:30234139-30234639	500	624
ASPHD2	chr22	26825279	+	chr22:26824720-26825220	500	50
ATF4	chr22	39916563	+	chr22:39915932-39916432	500	457
ATP6V1E1	chr22	18111588	-	chr22:18111411-18111911	500	985
ATXN10	chr22	46067677	+	chr22:46067514-46068014	500	64
BCL2L13	chr22	18121349	+	chr22:18122254-18122754,chr22:18121101-18121601	1000	673
BCR	chr22	23522551	+	chr22:23521508-23522008,chr22:23522321-23522821	1000	777
BCRP2	chr22	21457304	+	chr22:21457007-21457507	500	397
BCRP3	chr22	25028881	+	chr22:25028568-25029068	500	29
BID	chr22	18257261	-	chr22:18255992-18256492,chr22:18256494-18256994	1000	155
BMS1P20	chr22	22652462	+	chr22:22651973-22652789	816	210
C22orf15	chr22	24105207	+	chr22:24104886-24105386	500	30
C22orf23	chr22	38349654	-	chr22:38349413-38349913,chr22:38348574-38349074	1000	256
C22orf24	chr22	32341348	-	chr22:32339943-32340443	500	207
C22orf29	chr22	19842371	-	chr22:19842227-19842727,chr22:19843207-19843707	1000	3227
C22orf34	chr22	50051190	-	chr22:50050993-50051493	500	326
C22orf39	chr22	19435755	-	chr22:19434485-19434985,chr22:19435090-19435590	1000	1168
CABIN1	chr22	24407764	+	chr22:24407466-24407966,chr22:24408711-24409211	1000	600
CARD10	chr22	37915210	-	chr22:37915338-37915838	500	25
CASTOR1	chr22	30685616	-	chr22:30685468-30685968	500	351
CBX6	chr22	39268339	-	chr22:39268775-39269275,chr22:39268132-39268632	1000	157
CBX7	chr22	39548655	-	chr22:39548423-39548923	500	117
CBY1	chr22	39052657	+	chr22:39052263-39053244	981	175
CCDC116	chr22	21987085	+	chr22:21986741-21987241	500	2818
CCDC117	chr22	29168661	+	chr22:29169274-29169774,chr22:29168394-29168894	1000	308
CCDC134	chr22	42196625	+	chr22:42196333-42196833,chr22:42197183-42197683	1000	174
CCDC157	chr22	30752623	+	chr22:30752622-30753122	500	123
CDC42EP1	chr22	37956470	+	chr22:37956151-37956651	500	46
CDC45	chr22	19467348	+	chr22:19466967-19467467	500	3631
CDPF1	chr22	46646193	-	chr22:46645977-46646477	500	196
CECR2	chr22	17840838	+	chr22:17840347-17840847	500	512
CECR6	chr22	17602213	-	chr22:17601180-17601680	500	23
CECR7	chr22	17517459	+	chr22:17518337-17518837	500	32
CENPM	chr22	42343168	-	chr22:42342719-42343219,chr22:42343692-42344192	1000	456
CERK	chr22	47134152	-	chr22:47134068-47134568	500	32
CHCHD10	chr22	24110159	-	chr22:24108858-24109358,chr22:24109921-24110831	1410	325
CHEK2	chr22	29137822	-	chr22:29137589-29138089,chr22:29138315-29138815	1000	1154
