chr	start	end	length	read_count	class	promoter_gene	genic_gene	name
chr22	16921660	16922160	500	22	intergenic			chr22:16921660-16922160
chr22	16928087	16928587	500	17	intergenic			chr22:16928087-16928587
chr22	17024109	17024609	500	20	intergenic			chr22:17024109-17024609
chr22	17030693	17031193	500	27	intergenic			chr22:17030693-17031193
chr22	17032003	17032503	500	15	intergenic			chr22:17032003-17032503
chr22	17038351	17038851	500	23	intergenic			chr22:17038351-17038851
chr22	17049520	17050020	500	19	intergenic			chr22:17049520-17050020
chr22	17055517	17056017	500	18	intergenic			chr22:17055517-17056017
chr22	17059408	17059908	500	20	intergenic			chr22:17059408-17059908
chr22	17066527	17067526	999	159	intergenic			chr22:17066527-17067526
chr22	17080519	17081019	500	233	intergenic			chr22:17080519-17081019
chr22	17081915	17082415	500	534	promoter	TPTEP1		chr22:17081915-17082415
chr22	17083727	17084928	1201	235	promoter	TPTEP1	TPTEP1	chr22:17083727-17084928
chr22	17086148	17086648	500	106	genic		TPTEP1	chr22:17086148-17086648
chr22	17096799	17097299	500	35	genic		TPTEP1	chr22:17096799-17097299
chr22	17097433	17097933	500	27	genic		TPTEP1	chr22:17097433-17097933
chr22	17098513	17099013	500	51	genic		TPTEP1	chr22:17098513-17099013
chr22	17105323	17105823	500	71	genic		TPTEP1	chr22:17105323-17105823
chr22	17135067	17135567	500	49	genic		ANKRD62P1-PARP4P3	chr22:17135067-17135567
chr22	17136208	17136708	500	26	genic		ANKRD62P1-PARP4P3	chr22:17136208-17136708
chr22	17138883	17139383	500	35	genic		ANKRD62P1-PARP4P3	chr22:17138883-17139383
chr22	17162794	17163294	500	20	intergenic			chr22:17162794-17163294
chr22	17198765	17199265	500	37	intergenic			chr22:17198765-17199265
chr22	17210904	17211404	500	24	intergenic			chr22:17210904-17211404
chr22	17217494	17217994	500	23	intergenic			chr22:17217494-17217994
chr22	17228220	17228983	763	41	promoter	LINC01665	LINC01665	chr22:17228220-17228983
chr22	17230167	17230667	500	23	promoter	LINC01665		chr22:17230167-17230667
chr22	17239415	17239915	500	27	intergenic			chr22:17239415-17239915
chr22	17255367	17256112	745	199	intergenic			chr22:17255367-17256112
chr22	17256908	17257408	500	35	intergenic			chr22:17256908-17257408
chr22	17262360	17262860	500	135	intergenic			chr22:17262360-17262860
chr22	17264732	17265232	500	86	genic		XKR3	chr22:17264732-17265232
chr22	17270629	17271129	500	30	genic		XKR3	chr22:17270629-17271129
chr22	17276382	17276882	500	32	genic		XKR3	chr22:17276382-17276882
chr22	17280498	17280998	500	31	genic		XKR3	chr22:17280498-17280998
chr22	17290980	17291480	500	27	genic		XKR3	chr22:17290980-17291480
chr22	17295759	17296259	500	22	genic		XKR3	chr22:17295759-17296259
chr22	17306036	17306536	500	51	intergenic			chr22:17306036-17306536
chr22	17372746	17373246	500	23	intergenic			chr22:17372746-17373246
chr22	17392359	17392859	500	45	intergenic			chr22:17392359-17392859
chr22	17398218	17398718	500	105	intergenic			chr22:17398218-17398718
chr22	17403011	17403511	500	24	intergenic			chr22:17403011-17403511
chr22	17490292	17490792	500	17	intergenic			chr22:17490292-17490792
chr22	17505259	17505759	500	21	intergenic			chr22:17505259-17505759
chr22	17518337	17518837	500	32	promoter	CECR7	CECR7	chr22:17518337-17518837
chr22	17518953	17519453	500	25	genic		CECR7	chr22:17518953-17519453
chr22	17538962	17539462	500	42	genic		CECR7	chr22:17538962-17539462
chr22	17544404	17544904	500	27	intergenic			chr22:17544404-17544904
chr22	17548825	17549325	500	19	intergenic			chr22:17548825-17549325
chr22	17555546	17556046	500	47	intergenic			chr22:17555546-17556046
chr22	17565510	17566010	500	347	promoter	IL17RA	IL17RA	chr22:17565510-17566010
chr22	17568584	17569084	500	73	genic		IL17RA	chr22:17568584-17569084
chr22	17579312	17579812	500	96	genic		IL17RA	chr22:17579312-17579812
chr22	17583069	17583569	500	97	genic		IL17RA	chr22:17583069-17583569
chr22	17601180	17601680	500	23	promoter	CECR6,LINC01664	CECR6	chr22:17601180-17601680
chr22	17636784	17637284	500	228	genic		HDHD5	chr22:17636784-17637284
chr22	17639697	17640197	500	75	promoter	HDHD5-AS1	HDHD5	chr22:17639697-17640197
chr22	17652044	17652544	500	174	intergenic			chr22:17652044-17652544
chr22	17652633	17653133	500	187	intergenic			chr22:17652633-17653133
chr22	17672116	17672616	500	29	genic		ADA2	chr22:17672116-17672616
chr22	17679519	17680019	500	33	genic		ADA2	chr22:17679519-17680019
chr22	17682066	17682566	500	90	genic		ADA2	chr22:17682066-17682566
chr22	17684182	17684682	500	28	genic		ADA2	chr22:17684182-17684682
chr22	17694821	17695321	500	54	genic		ADA2	chr22:17694821-17695321
chr22	17709358	17709858	500	16	intergenic			chr22:17709358-17709858
chr22	17710488	17710988	500	20	intergenic			chr22:17710488-17710988
chr22	17714923	17715423	500	18	intergenic			chr22:17714923-17715423
chr22	17724291	17724791	500	69	intergenic			chr22:17724291-17724791
chr22	17731606	17732106	500	21	intergenic			chr22:17731606-17732106
chr22	17738986	17739486	500	116	genic		CECR3	chr22:17738986-17739486
chr22	17741781	17742281	500	50	genic		CECR3	chr22:17741781-17742281
chr22	17749328	17749828	500	48	intergenic			chr22:17749328-17749828
chr22	17756221	17756721	500	66	intergenic			chr22:17756221-17756721
chr22	17765692	17766192	500	14	intergenic			chr22:17765692-17766192
chr22	17784991	17785491	500	17	intergenic			chr22:17784991-17785491
chr22	17788289	17788789	500	27	intergenic			chr22:17788289-17788789
chr22	17794066	17794566	500	15	intergenic			chr22:17794066-17794566
chr22	17796244	17796744	500	32	intergenic			chr22:17796244-17796744
chr22	17800387	17800887	500	27	intergenic			chr22:17800387-17800887
chr22	17819979	17820479	500	50	intergenic			chr22:17819979-17820479
chr22	17827873	17828373	500	152	intergenic			chr22:17827873-17828373
chr22	17840347	17840847	500	512	promoter	CECR2	CECR2	chr22:17840347-17840847
chr22	17847096	17847596	500	59	genic		CECR2	chr22:17847096-17847596
chr22	17847712	17848212	500	113	genic		CECR2	chr22:17847712-17848212
chr22	17848474	17848974	500	62	genic		CECR2	chr22:17848474-17848974
chr22	17849586	17850086	500	194	genic		CECR2	chr22:17849586-17850086
chr22	17856811	17857311	500	47	genic		CECR2	chr22:17856811-17857311
chr22	17859260	17859760	500	267	genic		CECR2	chr22:17859260-17859760
chr22	17864676	17865176	500	65	genic		CECR2	chr22:17864676-17865176
chr22	17890250	17890750	500	23	genic		CECR2	chr22:17890250-17890750
chr22	17891991	17892491	500	52	genic		CECR2	chr22:17891991-17892491
chr22	17900738	17901238	500	77	genic		CECR2	chr22:17900738-17901238
chr22	17902030	17902530	500	96	genic		CECR2	chr22:17902030-17902530
chr22	17909565	17910065	500	33	genic		CECR2	chr22:17909565-17910065
chr22	17910145	17910645	500	27	genic		CECR2	chr22:17910145-17910645
chr22	17912492	17912992	500	53	genic		CECR2	chr22:17912492-17912992
chr22	17915612	17916112	500	251	genic		CECR2	chr22:17915612-17916112
chr22	17921793	17922293	500	49	genic		CECR2	chr22:17921793-17922293
chr22	17922473	17922973	500	199	genic		CECR2	chr22:17922473-17922973
chr22	17928639	17929139	500	48	genic		CECR2	chr22:17928639-17929139
chr22	17936755	17937255	500	20	genic		CECR2	chr22:17936755-17937255
chr22	17938734	17939234	500	40	genic		CECR2	chr22:17938734-17939234
chr22	17945865	17946365	500	33	genic		CECR2	chr22:17945865-17946365
chr22	17948369	17948869	500	21	genic		CECR2	chr22:17948369-17948869
chr22	17949460	17949960	500	25	genic		CECR2	chr22:17949460-17949960
chr22	17950956	17951456	500	32	genic		CECR2	chr22:17950956-17951456
chr22	17955774	17956274	500	51	genic		CECR2	chr22:17955774-17956274
chr22	17956395	17956895	500	103	genic		CECR2	chr22:17956395-17956895
chr22	17965192	17965692	500	30	genic		CECR2	chr22:17965192-17965692
chr22	17980628	17981128	500	101	genic		CECR2	chr22:17980628-17981128
chr22	18008743	18009243	500	15	genic		CECR2	chr22:18008743-18009243
chr22	18009306	18009806	500	26	genic		CECR2	chr22:18009306-18009806
chr22	18020029	18020529	500	22	genic		CECR2	chr22:18020029-18020529
chr22	18038120	18038620	500	29	intergenic			chr22:18038120-18038620
chr22	18042552	18043052	500	201	promoter	SLC25A18		chr22:18042552-18043052
chr22	18049563	18050496	933	42	genic		SLC25A18	chr22:18049563-18050496
chr22	18051090	18051590	500	39	genic		SLC25A18	chr22:18051090-18051590
chr22	18055376	18055876	500	21	genic		SLC25A18	chr22:18055376-18055876
chr22	18056536	18057036	500	48	genic		SLC25A18	chr22:18056536-18057036
chr22	18060945	18061445	500	22	genic		SLC25A18	chr22:18060945-18061445
chr22	18062863	18063363	500	147	genic		SLC25A18,LOC101929372	chr22:18062863-18063363
chr22	18089249	18089749	500	20	genic		ATP6V1E1	chr22:18089249-18089749
chr22	18106431	18106931	500	35	genic		ATP6V1E1	chr22:18106431-18106931
chr22	18111411	18111911	500	985	promoter	ATP6V1E1	ATP6V1E1	chr22:18111411-18111911
chr22	18115898	18116398	500	507	intergenic			chr22:18115898-18116398
chr22	18121101	18121601	500	569	promoter	BCL2L13	BCL2L13	chr22:18121101-18121601
chr22	18122254	18122754	500	104	promoter	BCL2L13	BCL2L13	chr22:18122254-18122754
chr22	18136065	18136565	500	24	genic		BCL2L13	chr22:18136065-18136565
chr22	18155752	18156252	500	203	genic		BCL2L13	chr22:18155752-18156252
chr22	18156685	18157185	500	62	genic		BCL2L13	chr22:18156685-18157185
chr22	18164607	18165107	500	19	genic		BCL2L13	chr22:18164607-18165107
chr22	18182520	18183020	500	19	genic		BCL2L13	chr22:18182520-18183020
chr22	18189183	18189683	500	49	genic		BCL2L13	chr22:18189183-18189683
chr22	18195255	18195755	500	38	genic		BCL2L13	chr22:18195255-18195755
chr22	18204732	18205232	500	37	genic		BCL2L13	chr22:18204732-18205232
chr22	18207574	18208555	981	81	genic		BCL2L13	chr22:18207574-18208555
chr22	18213195	18213695	500	47	genic		BCL2L13	chr22:18213195-18213695
chr22	18225158	18225658	500	94	genic		BID	chr22:18225158-18225658
chr22	18247502	18248002	500	15	genic		BID	chr22:18247502-18248002
chr22	18255992	18256492	500	108	promoter	BID	BID	chr22:18255992-18256492
chr22	18256494	18256994	500	47	promoter	BID	BID	chr22:18256494-18256994
chr22	18259954	18260454	500	142	promoter	LINC00528	LINC00528	chr22:18259954-18260454
chr22	18262118	18262618	500	136	genic		LINC00528	chr22:18262118-18262618
chr22	18264040	18264540	500	71	intergenic			chr22:18264040-18264540
chr22	18267886	18268386	500	108	intergenic			chr22:18267886-18268386
chr22	18269273	18269773	500	626	intergenic			chr22:18269273-18269773
chr22	18275060	18275560	500	23	genic		MICAL3	chr22:18275060-18275560
chr22	18275814	18276314	500	37	genic		MICAL3	chr22:18275814-18276314
chr22	18280927	18281427	500	45	genic		MICAL3	chr22:18280927-18281427
chr22	18285495	18285995	500	39	genic		MICAL3	chr22:18285495-18285995
chr22	18307144	18307644	500	17	genic		MICAL3	chr22:18307144-18307644
chr22	18312665	18313165	500	120	genic		MICAL3	chr22:18312665-18313165
chr22	18330102	18330602	500	79	genic		MICAL3	chr22:18330102-18330602
chr22	18335954	18336454	500	57	genic		MICAL3	chr22:18335954-18336454
chr22	18350129	18350629	500	28	genic		MICAL3	chr22:18350129-18350629
chr22	18355173	18355673	500	22	genic		MICAL3	chr22:18355173-18355673
chr22	18371577	18372077	500	55	genic		MICAL3	chr22:18371577-18372077
chr22	18372562	18373505	943	48	genic		MICAL3	chr22:18372562-18373505
chr22	18393221	18393721	500	51	intergenic			chr22:18393221-18393721
chr22	18396637	18397137	500	158	intergenic			chr22:18396637-18397137
chr22	18398910	18399410	500	514	intergenic			chr22:18398910-18399410
chr22	18400337	18400837	500	410	intergenic			chr22:18400337-18400837
chr22	18402938	18403438	500	257	intergenic			chr22:18402938-18403438
chr22	18404664	18405164	500	97	intergenic			chr22:18404664-18405164
chr22	18419556	18420056	500	24	intergenic			chr22:18419556-18420056
chr22	18432511	18433011	500	18	intergenic			chr22:18432511-18433011
chr22	18433357	18433857	500	27	intergenic			chr22:18433357-18433857
chr22	18448278	18448778	500	91	intergenic			chr22:18448278-18448778
chr22	18452971	18453471	500	224	intergenic			chr22:18452971-18453471
chr22	18463264	18463764	500	543	intergenic			chr22:18463264-18463764
chr22	18484278	18484778	500	807	intergenic			chr22:18484278-18484778
chr22	18506189	18506689	500	151	intergenic			chr22:18506189-18506689
chr22	18507222	18507722	500	99	intergenic			chr22:18507222-18507722
chr22	18518334	18519287	953	27	genic		LINC01634	chr22:18518334-18519287
chr22	18525279	18525779	500	24	intergenic			chr22:18525279-18525779
chr22	18531323	18531823	500	47	intergenic			chr22:18531323-18531823
chr22	18538879	18539379	500	90	intergenic			chr22:18538879-18539379
chr22	18540305	18540805	500	57	intergenic			chr22:18540305-18540805
chr22	18545325	18545825	500	21	intergenic			chr22:18545325-18545825
chr22	18553525	18554025	500	21	intergenic			chr22:18553525-18554025
chr22	18558739	18559239	500	309	intergenic			chr22:18558739-18559239
chr22	18560380	18560880	500	445	promoter	PEX26	PEX26	chr22:18560380-18560880
chr22	18589761	18590261	500	65	intergenic			chr22:18589761-18590261
chr22	18628682	18629182	500	27	intergenic			chr22:18628682-18629182
chr22	18632564	18633064	500	103	promoter	USP18	USP18	chr22:18632564-18633064
chr22	18638843	18639343	500	28	genic		USP18	chr22:18638843-18639343
chr22	18639916	18640416	500	84	genic		USP18	chr22:18639916-18640416
chr22	18841614	18842114	500	187	genic		LOC102725072	chr22:18841614-18842114
chr22	18846697	18847197	500	35	genic		LOC102725072	chr22:18846697-18847197
chr22	18875772	18876272	500	17	genic		LINC01663	chr22:18875772-18876272
chr22	18892293	18892793	500	51	promoter	DGCR6		chr22:18892293-18892793
chr22	18893470	18893970	500	371	promoter	DGCR6	DGCR6	chr22:18893470-18893970
chr22	18894373	18894873	500	85	promoter	DGCR6	DGCR6	chr22:18894373-18894873
chr22	18913911	18914411	500	38	genic		PRODH	chr22:18913911-18914411
chr22	18916964	18917464	500	26	genic		PRODH	chr22:18916964-18917464
chr22	18941825	18942325	500	25	intergenic			chr22:18941825-18942325
chr22	18946237	18946737	500	37	intergenic			chr22:18946237-18946737
chr22	18955532	18956032	500	45	intergenic			chr22:18955532-18956032
chr22	18975305	18975805	500	75	genic		DGCR5	chr22:18975305-18975805
chr22	18976657	18977157	500	58	genic		DGCR5	chr22:18976657-18977157
chr22	18982211	18982711	500	29	intergenic			chr22:18982211-18982711
chr22	18986476	18986976	500	71	intergenic			chr22:18986476-18986976
chr22	18989987	18990487	500	103	intergenic			chr22:18989987-18990487
chr22	18996359	18996859	500	28	intergenic			chr22:18996359-18996859
chr22	18997159	18997659	500	25	intergenic			chr22:18997159-18997659
chr22	19005293	19005793	500	28	promoter	DGCR9	DGCR9	chr22:19005293-19005793
chr22	19010213	19010713	500	56	promoter	DGCR10	DGCR10	chr22:19010213-19010713
chr22	19014852	19015352	500	43	intergenic			chr22:19014852-19015352
chr22	19023027	19023527	500	103	intergenic			chr22:19023027-19023527
chr22	19023765	19024265	500	57	genic		DGCR2	chr22:19023765-19024265
chr22	19024401	19024901	500	80	genic		DGCR2	chr22:19024401-19024901
chr22	19032454	19032954	500	25	genic		DGCR2	chr22:19032454-19032954
chr22	19038793	19039293	500	74	genic		DGCR2	chr22:19038793-19039293
chr22	19040750	19041250	500	34	genic		DGCR2	chr22:19040750-19041250
chr22	19041481	19041981	500	32	genic		DGCR2	chr22:19041481-19041981
chr22	19044152	19044652	500	35	genic		DGCR2	chr22:19044152-19044652
chr22	19061205	19061705	500	47	genic		DGCR2	chr22:19061205-19061705
chr22	19061919	19062419	500	32	genic		DGCR2	chr22:19061919-19062419
chr22	19062916	19063416	500	32	genic		DGCR2	chr22:19062916-19063416
chr22	19068938	19069438	500	35	genic		DGCR2	chr22:19068938-19069438
chr22	19072659	19073624	965	176	genic		DGCR2	chr22:19072659-19073624
chr22	19074352	19074852	500	80	genic		DGCR2	chr22:19074352-19074852
chr22	19083097	19083919	822	44	genic		DGCR2	chr22:19083097-19083919
chr22	19084458	19084958	500	28	genic		DGCR2	chr22:19084458-19084958
chr22	19085795	19086295	500	29	genic		DGCR2	chr22:19085795-19086295
chr22	19091433	19091933	500	38	genic		DGCR2	chr22:19091433-19091933
chr22	19096875	19097375	500	1460	genic		DGCR2	chr22:19096875-19097375
chr22	19102299	19102799	500	47	genic		DGCR2	chr22:19102299-19102799
chr22	19103042	19103542	500	55	genic		DGCR2	chr22:19103042-19103542
chr22	19108933	19109433	500	147	promoter	DGCR2	DGCR2	chr22:19108933-19109433
chr22	19109825	19110325	500	1340	promoter	DGCR2	DGCR2	chr22:19109825-19110325
chr22	19111438	19111938	500	136	intergenic			chr22:19111438-19111938
chr22	19117660	19118160	500	37	promoter	TSSK2	DGCR14	chr22:19117660-19118160
chr22	19118219	19118719	500	31	promoter	TSSK2	TSSK2,DGCR14	chr22:19118219-19118719
chr22	19118827	19119327	500	36	promoter	TSSK2	TSSK2,DGCR14	chr22:19118827-19119327
chr22	19131376	19131876	500	111	promoter	DGCR14	DGCR14	chr22:19131376-19131876
chr22	19132059	19132559	500	2971	promoter	DGCR14	DGCR14	chr22:19132059-19132559
chr22	19133647	19134147	500	101	intergenic			chr22:19133647-19134147
chr22	19139134	19139634	500	32	intergenic			chr22:19139134-19139634
chr22	19140791	19141590	799	125	intergenic			chr22:19140791-19141590
chr22	19147626	19148126	500	60	intergenic			chr22:19147626-19148126
chr22	19149918	19150418	500	25	intergenic			chr22:19149918-19150418
chr22	19155606	19156106	500	83	intergenic			chr22:19155606-19156106
chr22	19157003	19157503	500	171	intergenic			chr22:19157003-19157503
chr22	19158108	19158608	500	94	promoter	LINC01311		chr22:19158108-19158608
chr22	19158867	19159367	500	634	promoter	LINC01311	LINC01311	chr22:19158867-19159367
chr22	19166180	19166680	500	990	promoter	SLC25A1	SLC25A1	chr22:19166180-19166680
chr22	19166826	19167326	500	656	promoter	SLC25A1	CLTCL1	chr22:19166826-19167326
chr22	19172521	19173021	500	160	genic		CLTCL1	chr22:19172521-19173021
chr22	19181342	19181842	500	32	genic		CLTCL1	chr22:19181342-19181842
chr22	19183228	19183728	500	33	genic		CLTCL1	chr22:19183228-19183728
chr22	19185451	19185951	500	30	genic		CLTCL1	chr22:19185451-19185951
chr22	19189531	19190450	919	64	genic		CLTCL1	chr22:19189531-19190450
chr22	19191285	19191785	500	44	genic		CLTCL1	chr22:19191285-19191785
chr22	19194834	19195334	500	54	genic		CLTCL1	chr22:19194834-19195334
chr22	19195727	19196227	500	74	genic		CLTCL1	chr22:19195727-19196227
chr22	19205395	19205895	500	1335	genic		CLTCL1	chr22:19205395-19205895
chr22	19216906	19217406	500	50	genic		CLTCL1	chr22:19216906-19217406
